# File: Subject04Fixations.txt
# Created: Thursday, March 23, 2017,2:50:16 PM
# with: OGAMA Version: 5.0.5614
# Contents: GazeFixations table.
# Applies to Projekt:capstone experiments
#
ID	SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Length	PosX	PosY	Trial Name	Trial Category	SlideNr	AOI	AOI group	
12668	Ray	0	0	86	46298	165	1326.79138183594	800.225280761719	Slide0		0	nowhere	nowhere	
12669	Ray	0	0	87	47796	731	708.5595703125	1035.9453125	Slide0		0	nowhere	nowhere	
12670	Ray	0	0	88	48562	299	784.339477539063	990.472290039063	Slide0		0	nowhere	nowhere	
12671	Ray	0	0	89	48960	271	731.201904296875	1040.19189453125	Slide0		0	nowhere	nowhere	
12672	Ray	0	0	90	49360	134	802.225158691406	992.610534667969	Slide0		0	nowhere	nowhere	
12673	Ray	0	0	91	50260	899	900.123779296875	964.084777832031	Slide0		0	nowhere	nowhere	
12674	Ray	0	0	92	51959	899	969.708679199219	962.756958007813	Slide0		0	nowhere	nowhere	
12675	Ray	0	0	93	53058	1432	1052.0390625	959.862060546875	Slide0		0	nowhere	nowhere	
12676	Ray	0	0	94	54591	933	1126.115234375	984.683532714844	Slide0		0	nowhere	nowhere	
12677	Ray	0	0	95	55628	194	772.168395996094	1052.1318359375	Slide0		0	nowhere	nowhere	
12678	Ray	0	0	96	55923	132	1181.57287597656	982.74560546875	Slide0		0	nowhere	nowhere	
12679	Ray	0	0	97	56355	134	674.009948730469	1042.57678222656	Slide0		0	nowhere	nowhere	
12680	Ray	0	0	98	56789	266	1129.57739257813	976.200927734375	Slide0		0	nowhere	nowhere	
12681	Ray	0	0	99	57920	167	694.52490234375	401.527740478516	Slide0		0	nowhere	nowhere	
12682	Ray	0	0	100	58220	334	791.000244140625	328.390228271484	Slide0		0	nowhere	nowhere	
12683	Ray	0	0	101	58853	167	902.149963378906	724.718933105469	Slide0		0	nowhere	nowhere	
12684	Ray	0	0	102	59487	266	909.996826171875	133.62939453125	Slide0		0	nowhere	nowhere	
12685	Ray	0	0	103	59886	200	790.068603515625	349.832550048828	Slide0		0	nowhere	nowhere	
12686	Ray	0	0	104	60119	200	605.591369628906	116.42049407959	Slide0		0	nowhere	nowhere	
12687	Ray	0	0	105	60419	200	892.431213378906	377.653045654297	Slide0		0	nowhere	nowhere	
12688	Ray	0	0	106	63716	433	868.028930664063	249.211990356445	Slide0		0	nowhere	nowhere	
12689	Ray	0	0	107	65447	134	1294.57214355469	169.06852722168	Slide0		0	nowhere	nowhere	
12690	Ray	0	0	108	65647	433	1230.27575683594	150.409088134766	Slide0		0	nowhere	nowhere	
12691	Ray	0	0	109	66314	333	1326.39147949219	133.359268188477	Slide0		0	nowhere	nowhere	
12692	Ray	0	0	110	66947	200	1243.3994140625	743.749572753906	Slide0		0	nowhere	nowhere	
12693	Ray	0	0	111	67279	268	907.436157226563	733.212158203125	Slide0		0	nowhere	nowhere	
12694	Ray	0	0	112	67879	167	884.444580078125	672.270385742188	Slide0		0	nowhere	nowhere	
12695	Ray	0	0	113	68446	267	-0.105870462954044	597.877380371094	Slide0		0	nowhere	nowhere	
12696	Ray	0	0	114	68846	233	860.088195800781	648.616455078125	Slide0		0	nowhere	nowhere	
12697	Ray	0	0	115	69344	235	916.889404296875	204.380828857422	Slide0		0	nowhere	nowhere	
12698	Ray	0	0	116	69612	166	769.16259765625	304.806396484375	Slide0		0	nowhere	nowhere	
12699	Ray	0	0	117	75107	134	836.3115234375	295.086181640625	Slide0		0	nowhere	nowhere	
12700	Ray	0	0	118	75274	165	781.751647949219	355.437744140625	Slide0		0	nowhere	nowhere	
